Industry,Persons in thousands
Forestry and logging and support activities for forestry,3.1
"Mining, quarrying, and oil and gas extraction 11",27.5
"Forestry, fishing, mining, quarrying, oil and gas 11 12",30.5
Agriculture 10,34.7
Utilities,43.3
Real estate and rental and leasing,111.3
Other services (except public administration),176.8
"Business, building and other support services 14",181.1
Wholesale trade,185.6
"Information, culture and recreation",186.8
Non-durables,194.5
Accommodation and food services,198.5
Transportation and warehousing,281.8
Durables,337.1
Public administration,360.3
Construction,394.9
Finance and insurance,402.5
Retail trade,437.2
Educational services,438.1
"Finance, insurance, real estate, rental and leasing",513.8
Manufacturing,531.6
Wholesale and retail trade,622.8
"Professional, scientific and technical services",676.3
Health care and social assistance,722.2
Goods-producing sector 9,1035.10
