Quarters,Apartment - 1 bedroom,Apartment - 2 bedrooms,Room
Q1 2023,"1,710","1,960",740
Q2 2023,"1,750","1,990",770
Q3 2023,"1,760","2,040",800
Q4 2023,"1,770","2,090",780
Q1 2024,"1,796","2,090",790
Q2 2024,"1,828","2,090",760
Q3 2024,"1,860","2,090",750
Q4 2024,"1,893","2,090",760
Q1 2025,"1,924","2,128",768.33
Q2 2025,"1,955","2,158",776.22
Q3 2025,"1,986","2,188",784.12
Q4 2025,"2,017","2,218",792.01
Q1 2026,"2,048","2,248",799.91
Q2 2026,"2,079","2,278",807.8
Q3 2026,"2,110","2,308",815.7
Q4 2026,"2,141","2,339",823.59
Q1 2027,"2,172","2,369",831.49
Q2 2027,"2,203","2,399",839.38
Q3 2027,"2,234","2,429",847.28
Q4 2027,"2,265","2,459",855.17
Q1 2028,"2,296","2,489",863.07
Q2 2028,"2,327","2,519",870.96
Q3 2028,"2,358","2,550",878.86
Q4 2028,"2,389","2,580",886.75
Q1 2029,"2,420","2,610",894.65
Q2 2029,"2,451","2,640",902.54
Q3 2029,"2,482","2,670",910.43
Q4 2029,"2,513","2,700",918.33
Q1 2030,"2,544","2,730",926.22
Q2 2030,"2,575","2,760",934.12
Q3 2030,"2,606","2,791",942.01
Q4 2030,"2,637","2,821",949.91
